#---------------,--------------------,--------------------,-------,---------,-----------
#  NAME         ,  RAJ               ,  DECJ              ,  DIST ,  AGE    ,  EDOT
#               ,  (hms)             ,  (dms)             ,  (kpc),  (Yr)   ,  (ergs/s)
#---------------,--------------------,--------------------,-------,---------,-----------
  J0002+6216    , 00:02:58.17        , +62:16:09.4        , 6.357 , 3.06e+05, 1.5e+35
  J0006+1834    , 00:06:04.8         , +18:34:59          , 0.860 , 5.24e+06, 2.5e+32
  J0007+7303    , 00:07:01.7         , +73:03:07.4        , 1.400 , 1.39e+04, 4.5e+35
  J0011+08      , 00:11:34           , +08:10             , 5.399 , *       , *
  B0011+47      , 00:14:17.75        , +47:46:33.4        , 1.776 , 3.48e+07, 1.2e+31

  J0021-0909    , 00:21:51.47        , -09:09:58.7        , 25.000, 3.53e+07, 3.3e+30
  J0023+0923    , 00:23:16.877498    , +09:23:23.8604     , 1.818 , 4.23e+09, 1.6e+34
  J0024-7204aa  , 00:24:05.67        , -72:04:52.62       , 2.688 , *       , *
  J0024-7204ab  , 00:24:08.1615      , -72:04:47.602      , 2.540 , 5.98e+09, 7.6e+33
  J0024-7204ac  , 00:24:05.67        , -72:04:05          , 4.690 , *       , *

  J0024-7204ad  , 00:24:05.67        , -72:04:05          , 4.690 , *       , *
  B0021-72C     , 00:23:50.3546      , -72:04:31.5048     , 4.690 , *       , *
  B0021-72D     , 00:24:13.88092     , -72:04:43.8524     , 4.690 , *       , *
  B0021-72E     , 00:24:11.10528     , -72:05:20.1492     , 4.690 , 5.69e+08, 8.8e+34
  B0021-72F     , 00:24:03.85547     , -72:04:42.8183     , 4.690 , 6.44e+08, 1.4e+35

  B0021-72G     , 00:24:07.9603      , -72:04:39.7030     , 4.690 , *       , *
  B0021-72H     , 00:24:06.7032      , -72:04:06.8067     , 4.690 , *       , *
  B0021-72I     , 00:24:07.9347      , -72:04:39.6815     , 4.690 , *       , *
  B0021-72J     , 00:23:59.4077      , -72:03:58.7908     , 4.690 , *       , *
  B0021-72L     , 00:24:03.7721      , -72:04:56.923      , 4.690 , *       , *

  B0021-72M     , 00:23:54.4899      , -72:05:30.756      , 4.690 , *       , *
  B0021-72N     , 00:24:09.1880      , -72:04:28.8907     , 4.690 , *       , *
  J0024-7204O   , 00:24:04.65254     , -72:04:53.7670     , 4.690 , 1.38e+09, 6.5e+34
  J0024-7204P   , 00:24:20           , -72:04:10          , 4.690 , 8.7e+07 , 5.4e+35
  J0024-7204Q   , 00:24:16.4909      , -72:04:25.1644     , 4.690 , 1.88e+09, 2.0e+34

  J0024-7204R   , 00:24:07.5851      , -72:04:50.3954     , 4.690 , 3.72e+08, 1.4e+35
  J0024-7204S   , 00:24:03.9794      , -72:04:42.3530     , 4.690 , *       , *
  J0024-7204T   , 00:24:08.5491      , -72:04:38.932      , 4.690 , 4.09e+08, 2.7e+34
  J0024-7204U   , 00:24:09.8366      , -72:03:59.6882     , 4.690 , 7.23e+08, 4.6e+34
  J0024-7204V   , 00:24:05.67        , -72:04:52.62       , 4.690 , *       , *

  J0024-7204W   , 00:24:06.058       , -72:04:49.088      , 4.690 , *       , *
  J0024-7204X   , 00:24:22.38565     , -72:01:17.4414     , 4.690 , 4.12e+09, 6.7e+33
